Total,Comunidad Asiática,Region,condado,porcentaje comunidad asiatica
977165.0,57018.0,Connecticut,Capitol,5.835043211740085
326381.0,17876.0,Connecticut,Greater Bridgeport,5.477034508748978
175244.0,6041.0,Connecticut,Lower Connecticut River Valley,3.4471936271712584
451887.0,18305.0,Connecticut,Naugatuck Valley,4.050791458926679
95687.0,1369.0,Connecticut,Northeastern Connecticut,1.430706365545999
112696.0,2811.0,Connecticut,Northwest Hills,2.494321005182083
571298.0,24389.0,Connecticut,South Central Connecticut,4.269050478034231
280293.0,10827.0,Connecticut,Southeastern Connecticut,3.8627436289882375
620666.0,32309.0,Connecticut,Western Connecticut,5.205537277698472
182400.0,4233.0,Delaware,Kent,2.320723684210526
570567.0,33239.0,Delaware,New Castle,5.825608561308313
240668.0,3098.0,Delaware,Sussex,1.2872504861468912
279729.0,16697.0,Florida,Alachua,5.968991416692584
27969.0,195.0,Florida,Baker,0.6972004719510887
181055.0,3684.0,Florida,Bay,2.0347408246113057
27816.0,260.0,Florida,Bradford,0.9347138337647396
610723.0,14458.0,Florida,Brevard,2.36735803301988
1940907.0,71277.0,Florida,Broward,3.672355244223448
13753.0,31.0,Florida,Calhoun,0.2254053661019414
189900.0,2442.0,Florida,Charlotte,1.2859399684044233
155173.0,2140.0,Florida,Citrus,1.3791059011554845
219650.0,6279.0,Florida,Clay,2.858638743455497
380221.0,5370.0,Florida,Collier,1.4123365095562843
69832.0,661.0,Florida,Columbia,0.9465574521709244
34258.0,54.0,Florida,DeSoto,0.1576274154941911
16737.0,51.0,Florida,Dixie,0.3047141064706936
995708.0,46991.0,Florida,Duval,4.719355473693091
321296.0,9694.0,Florida,Escambia,3.0171555201434197
117515.0,2911.0,Florida,Flagler,2.477130579075012
12276.0,44.0,Florida,Franklin,0.3584229390681003
43746.0,17.0,Florida,Gadsden,0.0388606958350477
18070.0,47.0,Florida,Gilchrist,0.2600996126175982
12179.0,63.0,Florida,Glades,0.5172838492487067
15002.0,57.0,Florida,Gulf,0.3799493400879883
13492.0,69.0,Florida,Hamilton,0.5114141713608065
25528.0,270.0,Florida,Hardee,1.057662174866813
39902.0,373.0,Florida,Hendry,0.934790236078392
196621.0,2451.0,Florida,Hernando,1.2465606420473907
102339.0,1440.0,Florida,Highlands,1.4070882068419663
1468560.0,62784.0,Florida,Hillsborough,4.275208367380291
19529.0,127.0,Florida,Holmes,0.6503149162783552
160986.0,2475.0,Florida,Indian River,1.537400767768626
47704.0,275.0,Florida,Jackson,0.5764715747107161
14458.0,33.0,Florida,Jefferson,0.2282473371144003
8107.0,2.0,Florida,Lafayette,0.0246700382385592
386829.0,8116.0,Florida,Lake,2.098084683413084
772902.0,12868.0,Florida,Lee,1.6648941262928547
294128.0,10348.0,Florida,Leon,3.5181961594951856
43268.0,354.0,Florida,Levy,0.8181566053434409
7704.0,8.0,Florida,Liberty,0.1038421599169262
17986.0,16.0,Florida,Madison,0.0889580785055042
405069.0,8935.0,Florida,Manatee,2.205797037048009
378225.0,5980.0,Florida,Marion,1.5810694692312777
159399.0,2462.0,Florida,Martin,1.5445517224072924
2688237.0,41646.0,Florida,Miami-Dade,1.5491937652818557
82044.0,893.0,Florida,Monroe,1.0884403490809809
91538.0,939.0,Florida,Nassau,1.025803491446175
212021.0,7151.0,Florida,Okaloosa,3.3727791115031063
39870.0,384.0,Florida,Okeechobee,0.963130173062453
1427403.0,75431.0,Florida,Orange,5.284492186159059
393745.0,10794.0,Florida,Osceola,2.7413681443573887
1494805.0,42126.0,Florida,Palm Beach,2.8181602282571974
569211.0,16234.0,Florida,Pasco,2.8520179687321576
959918.0,33912.0,Florida,Pinellas,3.5328017601503463
736229.0,12972.0,Florida,Polk,1.7619517840237209
73604.0,431.0,Florida,Putnam,0.5855660018477257
278722.0,8721.0,Florida,St. Johns,3.128924160991956
334682.0,6691.0,Florida,St. Lucie,1.9992111915191135
188994.0,3785.0,Florida,Santa Rosa,2.002709080711557
439392.0,7881.0,Florida,Sarasota,1.7936148131964167
471321.0,23898.0,Florida,Seminole,5.070429707142266
131832.0,1431.0,Florida,Sumter,1.0854724194429275
43881.0,245.0,Florida,Suwannee,0.5583282058294022
21421.0,52.0,Florida,Taylor,0.2427524391951823
15524.0,18.0,Florida,Union,0.1159494975521772
558520.0,10398.0,Florida,Volusia,1.86170593711953
33732.0,50.0,Florida,Wakulla,0.1482272026562315
76618.0,847.0,Florida,Walton,1.1054843509358114
25014.0,251.0,Florida,Washington,1.00343807467818
18441.0,105.0,Georgia,Appling,0.569383439075972
8265.0,0.0,Georgia,Atkinson,0.0
11138.0,70.0,Georgia,Bacon,0.6284790806248878
2878.0,284.0,Georgia,Baker,9.8679638637943
43778.0,695.0,Georgia,Baldwin,1.587555393119832
18381.0,259.0,Georgia,Banks,1.409063707088842
84399.0,3558.0,Georgia,Barrow,4.215689759357338
109410.0,1204.0,Georgia,Bartow,1.1004478566858604
17169.0,63.0,Georgia,Ben Hill,0.3669404158658046
18187.0,194.0,Georgia,Berrien,1.066695991642382
156554.0,3428.0,Georgia,Bibb,2.189659797897211
12413.0,116.0,Georgia,Bleckley,0.9345041488761782
18105.0,126.0,Georgia,Brantley,0.695940347970174
16275.0,105.0,Georgia,Brooks,0.6451612903225806
44995.0,1023.0,Georgia,Bryan,2.2735859539948886
79829.0,1247.0,Georgia,Bulloch,1.562088965163036
24337.0,122.0,Georgia,Burke,0.501294325512594
25522.0,21.0,Georgia,Butts,0.0822819528250137
5594.0,0.0,Georgia,Calhoun,0.0
55105.0,1025.0,Georgia,Camden,1.8600852917158155
10946.0,92.0,Georgia,Candler,0.8404896765941897
120060.0,1041.0,Georgia,Carroll,0.8670664667666167
68052.0,1042.0,Georgia,Catoosa,1.5311820372656204
12547.0,99.0,Georgia,Charlton,0.7890332350362637
296266.0,8618.0,Georgia,Chatham,2.908872432206193
9402.0,335.0,Georgia,Chattahoochee,3.5630716868751326
24902.0,15.0,Georgia,Chattooga,0.0602361256124006
268567.0,5374.0,Georgia,Cherokee,2.000990441863669
128864.0,5252.0,Georgia,Clarke,4.075614601440279
2855.0,44.0,Georgia,Clay,1.5411558669001753
296312.0,15178.0,Georgia,Clayton,5.122303517913551
6713.0,11.0,Georgia,Clinch,0.1638611649039177
765813.0,42702.0,Georgia,Cobb,5.576034880577896
43056.0,330.0,Georgia,Coffee,0.7664437012263099
45813.0,378.0,Georgia,Colquitt,0.8250933141248118
156921.0,6850.0,Georgia,Columbia,4.365253853850026
17242.0,42.0,Georgia,Cook,0.2435912307156942
147449.0,2814.0,Georgia,Coweta,1.9084564832586184
12156.0,0.0,Georgia,Crawford,0.0
20255.0,125.0,Georgia,Crisp,0.6171315724512466
16239.0,133.0,Georgia,Dade,0.8190159492579593
