name_x,nombre_estado,city,name_y,rating,text
Pacific Grove,Massachusetts,Wilmington,Lynn,4,"Very, very good meals. 13 in our party and all the food was wonderful. The only drawback was the people that ordered sushi had to wait a long time. There was 1 employee making sushi and a fair amount of customers there. We ended up taking the sushi to go. Other than that, great meals, generous portions and attentive employees."
Confucio Express Brickell,Florida,Miami,Jose David Roa Licenciado en Musica,5,The best Chinese food of Miami I strongly recommended
Chinese Chef,Virginia,Henrico,Uma Vadlamani,5,My favorite Chinese food place.
Hardee,New York,Brooklyn,wes wright,5,Not your average Chinese spot.  Fast service also
Szechuan Delight,New York,Brooklyn,Ralph Parrilla,5,Excellent service very good food could do with some more heat in the place but the food was excellent going to recommend it to all my friends
Panda Express,New York,Brooklyn,Jillian Waynes,4,Friendly staff
Panda Express,Georgia,Norcross,Alx C,4,Food is good for fast food. Staff is friendly. Orange chicken seems to be the favorite. Its  breaded and fried chicken chunks. Sauce is sweet and sour/ acidic of orange juice makes it very addictive.
Wild Ginger,New York,Rockville Centre,Paul epstein,5,Very good good and service
Ke Kitchen,New York,Buffalo,Alexandria M,5,Great food
Lucky China,Georgia,Macon,Chris Walker,3,The only thing for me I didn't get a lot of food
Happy Dragon,New York,Bronx,Justin Wilson,5,Very friendly. Food is good. Accepts debit and credit cards
Red Ginger Asian Diner,New York,East Northport,Ronald Cohn,4,"I ate here only once. But real good food, and good service. I'll surely be back."
Anise Chinese Kitchen,New York,Bronx,John Lanaro,5,Amazing food!
Le Dish,New Jersey,Hamilton Township,Scott Reierson,5,"I love this place.  The food is great, the staff is friendly and there is no better place for a quiet, late lunch or early dinner.  Once I get back to sitting down in a restaurant for a meal this place is top of the list."
My Bento Asian Diner,North Carolina,Charlotte,ran tao,5,near UNCC campus. great Chinese food.
Asian Cafe,Maryland,Frederick,Vince Cosentino,4,It's not bad. A bit pricy but if ur in the mood for Chinese at this end of town it's a good stop
China Buffet,Florida,Jacksonville,Muldrew Dennis,5,Great buffet and manager so sweet
Garden Rice Chinese Restaurant,New Jersey,Chatham Township,Michael Kaczun,3,Ive tried this place a bunch of times with mixed results. The owners are very nice and friendly.
Hong Kong Chinese Food,New York,Monroe,Kit G,5,Love going here. Always so friendly and good food.👍👍👍
Panda Banjum | 판다반점,New York,New York,David Miller (dokebi),5,"Consistent food, never too crowded."
Golden City Asian Restaurant,New York,Freeport,MEI CHENG,5,Great food good service and nice people
Hibachi Grill & Supreme Buffet,Maryland,Baltimore,Paul Perrin,3,"This is a popular buffet in the area, but the food isn't as good as other Asian buffets I've had and it does not seem like the most hygienic establishment I've been too. It is what it is: a good price for lots of okay food."
Sushi & Chinese Express & Burger Bar,New Jersey,Lakewood,Chayim Haikins,5,Unbelievably delicious Berger's
P.F. Chang's,Rhode Island,Providence,Matthew Viano,4,Good apps to pick at while sitting at the bar
Hong Kong Express,Virginia,Falls Church,Rodrigo Reyes,4,The chicken here is addicting. The plate was pretty big but I finished every bit of it.
Taste Of China,New York,Brooklyn,Ivan Castano,1,Everything are old.
Capital Buffet,New York,Albany,Farin Chowdhury,5,"Varieties of chinese food and free soda refills in a very cheap price. The area is nice, but just a little far away. It's worth it going there though."
Happy House,New York,Brooklyn,Xavier Blackman,3,Service was good also food is good.
Hibachi Grill & Supreme Buffet,Virginia,Virginia Beach,Jay Rickman,5,Great
Kai's Place,Connecticut,Danbury,Michael Andros,5,Very impressed with the food. It is way across town from me. But I still make the trip. As far as I am concerned it is worth the trip. I have had a lot of different dishes off the menu and they all have been very good.
Pei Wei,Florida,Jacksonville Beach,Lisa Lovingood,5,Best egg rolls I've ever had! Excellent food!!! Worth every penny!!!
New Szechuan Kitchen,New Jersey,Middlesex,SHEILYNNE Rosado,5,First time. Best Chinese food in middlesex.
Johnny's China Cafe,New York,Waterville,Adon Berry,5,"Awsome people, awso.e food, good price."
Hong Kong Chinese Restaurant,South Carolina,Murrells Inlet,Dick Fremberg,5,Good food and food is hot (temp)
P.F. Chang's,North Carolina,Durham,Sue Powers,5,"We were looking for an above average Chinese restaurant and found it! The crab wontons were light and crunchy, the dim sum were meaty with a fantastic sauce. We got the Singapore pepper chicken an Chang's spicy chicken. Would have both again in a heartbeat. The strawberry ginger margaritas were the best. Nice balance of lightly sweet and gingery."
Crystal Kitchen Chinese Restaurant,Virginia,Lexington,Jeannie Armstrong,5,The best Chinese food in Rockbridge county VA.
Hong Kong Chinese Restaurant,New Jersey,Fair Lawn,Matt B,5,Fast good and inexpensive says it all
Oriental Express,Virginia,Sterling,Simon Caraballo,1,The sesame chiken was mushy full of fat grissle and wet bredding if i could give it a zero star i would.
Fortune Garden,Connecticut,Middletown,Yary Melendez,5,Good service good price food mmm
Golden House Restaurant,Massachusetts,Lawrence,Peter Schiller,4,Good food and even better service.  Where the owner knows you by name.
Xi'an Famous Foods 西安名吃,New York,Woodside,Shermin Ali,5,Great restaurant with excellent service. Very cheap food.
Taste of China,New Jersey,Little Falls,soul moon,1,Its garbage
El Palacio Buffet,Florida,Orlando,Dia Dia Oli,5,Awesome Food And Great Price!!!!!
Chopstick House,New York,Buffalo,Di Francisco,4,Pretty consistent.
China View Restaurant,North Carolina,Hickory,Billy Pruitt,5,It's great food and at a reasonable price.
Osaka Sushi & Grill,Florida,Miramar,Dima Samra,5,"Came here by accident, thinking it was another restaurant, but we enjoyed it. Good food and good prices."
Hong Kong Chinese Restaurant,South Carolina,Johnston,Maaku maso,5,Love the food
China 1 Brooklet GA,Georgia,Brooklet,Blue RainKush,5,Very nice people eat here almost every week and i can tell you my foods never cold. They always cook to order I give them a for sure 5 stars for a local place.
Best China,North Carolina,Matthews,John Teague,4,Good Food and great people.
New Garden,Massachusetts,Fall River,Daniel Adam,5,"Hot, fresh, and plenty! Definitely great food here!"
New Hong Kong Chinese Restaurant,New Jersey,Beverly,Dave Jones,5,Love this place
Mee Hong Restaurant,Massachusetts,New Bedford,Bennu2u,4,Great!
New Hop Shing Kitchen,New York,Brooklyn,AllAbout Steph,5,On point every time !
Chinatown Gourmet,New Jersey,Clifton,Rayan Whitehead,5,"Exceptional food, kind employees, consistently  awesome mood. They charge affordable rates and the food quality is awesome. Fantastic work."
Chan's Restaurant,Virginia,Chesterfield,Briley Laurent,5,"Delicious yellow curry, especially with eggplant and broccoli added. Red curry is tasty, but more spicy. Would order buffalo wings again, too. Free, fast delivery is a plus!"
El Palacio Buffet,Florida,Orlando,Qwexys Friend,5,"I usually go to the one in Kissimmee be it's closer and the food is always great, pico de gallo is awesome with lime!"
Jin Jin King,Florida,Panama City Beach,Steve Miller,1,"The food was average, but DO NOT get it delivered! Order was screwed up & they didn't fix it. It was too pricey not get what you ordered right and then blowing you off."
China Buffet,Virginia,Colonial Heights,Raggy,1,They got shut down for selling cat. Feels bad
Red Star Chinese Restaurant,New Hampshire,Contoocook,Sasha Dye,5,"I love the food here, the service is always great and the little boy is absolutely adorable! The tables are clean and comfortable."
China Wok,New York,Long Beach,Amanda,1,"Found a bug in my food
I'm reporting this very disgusted"
El Palacio,Florida,Kissimmee,Monique Thompson,2,Never go when the first open because that is food from yesterday
Jin's Asian Cuisine,Virginia,Chesapeake,kim nixon,5,Fresh & Delicious and with Great service too! Best General Tso's chicken around!
King Wah Chinese Restaurant,Connecticut,Norwich,Raja Muthariyar,1,Worst Chinese food
Sanyo,Massachusetts,Lexington,Mark Manasas,4,"Great place - good food, good atmosphere. They've got to fix the flickering lights though. The entrance looks like something out of a horror movie. It will almost give you a headache."
Fulton China,New York,Brooklyn,JovanyY.C.,3,It's okay
Li's Asian Cuisine,Georgia,Marietta,Alyson Taylor,4,"Been eating at Li's now for over 10 years. It's a little mom-and-pop Asian food restaurant with great menu variety. The food always tastes delicious, although I've never tried their sushi. The only reason I give this place four stars instead of five is the wait time... if the restaurant is mostly empty then you usually get your food in a decent amount of time, but unfortunately they're just not equipped (or staffed) to handle a lunch or dinner rush very efficiently. Still, you can bet I'm going back for their pineapple chicken stir fry."
Panda King,New York,Flushing,李翔,4,You have to wait a long time when u end of order. But the delivery is fast.
P.F. Chang's,North Carolina,Durham,Micah Slaga,5,"*Ordered Takeout*
Some PF Chang's don't do lunch options well.
This one impressed me, food was well cooked and delicious. Will certainly return."
Kwon Wa Chinese Kitchen,New York,Bronx,MOTHER ANGEL,2,Not the same no more
South Ocean,Massachusetts,South Boston,Gacha Gamer,5,Now goes by the name Pan Asia but the food has not changed much at all. This is a Chinese/Cantonese restaurant that ive been going to for over 25 years. I highly recommend tjis place as one of Southie's best. They are a  fast delicious takeout or delivery.
Shun Feng,New Hampshire,Seabrook,Dawn-renae Ann Stevens,3,Love to eat here when it's not a holiday. Never come here on New Years. Took us 3 hours to get our food 2011-2012 new years eve. Other than that day we've had no problems
Wong's Chinese Restaurant,Florida,Coral Springs,Everardo Branford Branfords Originals,3,great service
Wok N Roll Restaurant,Georgia,Atlanta,Sam Folder,1,Horrible food and the people don't understand a word of English. The old skinny man is nuts and the woman is rude.
Lichee Nut,New York,Brooklyn,Brian Smith,5,"A gem in Brooklyn Heights. This is a no nonsense good food Chinese restaurant.
All the dishes I have tried have been good. . In my opinion its the best Chinese restaurant in Brooklyn Heightd"
No.1 China,South Carolina,New Ellenton,Jeffrey Hoxworth,5,This place had really great food I was surprised at how good it was.
